DrugID,DiseaseCount,AssociatedDiseases1,AssociatedDiseases2,AssociatedDiseases3,AssociatedDiseases4,AssociatedDiseases5,AssociatedDiseases6,AssociatedDiseases7,AssociatedDiseases8,AssociatedDiseases9,AssociatedDiseases10,AssociatedDiseases11,AssociatedDiseases12,AssociatedDiseases13,AssociatedDiseases14,AssociatedDiseases15,AssociatedDiseases16,AssociatedDiseases17,AssociatedDiseases18,AssociatedDiseases19,AssociatedDiseases20,AssociatedDiseases21,AssociatedDiseases22,AssociatedDiseases23,AssociatedDiseases24,AssociatedDiseases25,AssociatedDiseases26,AssociatedDiseases27,AssociatedDiseases28,AssociatedDiseases29,AssociatedDiseases30,AssociatedDiseases31,AssociatedDiseases32,AssociatedDiseases33,AssociatedDiseases34,AssociatedDiseases35,AssociatedDiseases36,AssociatedDiseases37,AssociatedDiseases38
DB00950,5,D603165,D605804,D605805,D605844,D607154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00952,2,D157300,D607501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00953,2,D157300,D607501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00956,2,D147530,D608088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00957,3,D131200,D192000,D604416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00958,4,D109800,D133239,D259500,D276300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00959,6,D109100,D140600,D146850,D147540,D208550,D276300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00960,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00963,2,D115645,D212350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00966,3,D145500,D161900,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00967,5,D603165,D605804,D605805,D605844,D607154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00968,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00969,1,D260570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00972,5,D603165,D605804,D605805,D605844,D607154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00973,2,D143890,D144400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00975,1,D601367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00977,7,D102500,D131200,D184700,D192000,D215470,D311360,D604416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00982,2,D601626,D604416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00983,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00984,2,D106100,D202400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00987,8,D109543,D223350,D236000,D246470,D247640,D267730,D276300,D601626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00988,4,D146255,D161900,D166300,D310468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00989,19,D104300,D104310,D125320,D168100,D168600,D168601,D260300,D556500,D600116,D602096,D602404,D605055,D605526,D606324,D606889,D607060,D607688,D607822,D608907,,,,,,,,,,,,,,,,,,,
DB00990,1,D114480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00991,5,D140600,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00992,1,D106400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00993,9,D126200,D152700,D160300,D181000,D188030,D208920,D233810,D254200,D266600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00995,1,D134750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00996,16,D102300,D144110,D147530,D157300,D165199,D190300,D208700,D267740,D300491,D600131,D604827,D607628,D607631,D607681,D607682,D608105,,,,,,,,,,,,,,,,,,,,,,
DB00997,15,D109800,D114480,D137215,D188470,D194070,D211980,D236000,D247640,D254500,D256700,D259500,D268220,D276300,D601626,D602439,,,,,,,,,,,,,,,,,,,,,,,
DB00998,2,D157300,D607501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00999,7,D102500,D125700,D161900,D208300,D215140,D600351,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01001,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01002,1,D147530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01003,3,D191390,D208550,D600807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01005,7,D144700,D155600,D155601,D187950,D263300,D276300,D605839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01006,1,D114480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01008,8,D223350,D246470,D254450,D263300,D276300,D601626,D602439,D608232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01009,6,D140600,D145590,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01012,1,D608266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01013,2,D125600,D151590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01014,1,D266600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01016,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01017,1,D604416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01018,3,D143465,D161900,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01019,3,D109350,D157950,D191800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01020,2,D109350,D608320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01023,3,D161900,D179600,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01026,1,D212050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01029,7,D125850,D125851,D125853,D146255,D161900,D600496,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01030,2,D182280,D276300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01033,5,D109543,D151400,D191390,D247640,D266600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01035,3,D115000,D607554,D608583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01037,16,D104300,D104310,D168600,D168601,D260300,D556500,D600116,D602096,D602404,D605526,D606324,D606889,D607060,D607688,D607822,D608907,,,,,,,,,,,,,,,,,,,,,,
DB01039,2,D144010,D144650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01041,2,D246300,D254500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01042,3,D254500,D256700,D268220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01043,9,D104300,D104310,D125320,D602096,D605055,D605526,D606889,D607822,D608907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01045,1,D246300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01046,1,D103285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01050,11,D140600,D145590,D147530,D150600,D165720,D208230,D252320,D604302,D607411,D607459,D607850,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01058,1,D181460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01062,1,D144110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01063,1,D181500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01064,3,D115000,D208550,D600807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01065,7,D209850,D300425,D300495,D300496,D607373,D608049,D608636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01067,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01068,12,D102100,D102300,D140600,D165720,D167870,D181500,D208230,D254770,D254800,D606369,D607459,D607850,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01069,7,D147540,D158280,D603165,D605804,D605805,D605844,D608088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01070,9,D134600,D146200,D146255,D166710,D241519,D264700,D277440,D307700,D600081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01071,5,D603165,D605804,D605805,D605844,D607154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01072,1,D109100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01073,7,D109543,D151400,D223350,D236000,D247640,D267730,D276300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01075,4,D145590,D147540,D158280,D608088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01076,3,D143890,D144010,D144400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01077,1,D602080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01080,3,D217200,D308350,D605021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01083,3,D264120,D303110,D601665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01084,4,D603165,D605804,D605805,D605844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01085,1,D161900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01086,2,D147530,D166760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01088,5,D145500,D161900,D178600,D265400,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01095,1,D144010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01098,5,D143890,D144010,D144250,D144400,D145750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01099,2,D114580,D212050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01101,6,D114480,D114500,D137215,D144700,D176807,D276300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01104,4,D131300,D164230,D167870,D252320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01105,3,D264120,D303110,D601665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01106,5,D603165,D605804,D605805,D605844,D607154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01110,2,D114580,D212050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01113,3,D115000,D179600,D260570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01114,1,D607154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01115,3,D161900,D179600,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01118,1,D115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01120,1,D125853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01122,1,D254200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01124,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01125,1,D607554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01128,1,D176807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01129,3,D109350,D190310,D600263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01132,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01133,2,D167320,D602080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01136,3,D161900,D607554,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01137,2,D166760,D208550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01142,2,D147530,D603165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01143,1,D276300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01144,1,D137760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01146,5,D603165,D605804,D605805,D605844,D607154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01148,3,D155100,D231200,D273800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01151,3,D143465,D147530,D167870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01156,3,D143465,D167870,D264120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01157,1,D109100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01161,1,D147530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01162,7,D144110,D147530,D157950,D161900,D200170,D600082,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01165,2,D166760,D600263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01167,4,D114580,D212050,D258360,D602068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01169,1,D276300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01170,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01173,13,D147530,D157300,D160750,D168600,D168601,D200170,D260300,D556500,D600116,D602404,D606324,D607060,D607688,,,,,,,,,,,,,,,,,,,,,,,,,
DB01174,12,D121200,D121201,D143500,D190310,D208085,D217200,D218800,D226150,D237450,D237500,D308600,D608217,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01175,1,D164230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01176,1,D145590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01177,4,D223350,D247640,D601626,D602439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01181,6,D109543,D151400,D236000,D247640,D273300,D276300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01182,1,D607554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01185,3,D114480,D215470,D241100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01186,10,D168100,D168600,D168601,D260300,D556500,D600116,D602404,D606324,D607060,D607688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01188,2,D114580,D125600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01189,3,D147530,D161900,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01192,1,D147530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01193,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01194,4,D137750,D137760,D161900,D601682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01195,1,D607554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01196,2,D176807,D601518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01197,7,D146255,D161900,D179600,D215140,D600351,D602522,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01200,2,D102300,D168100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01202,10,D217200,D239350,D300491,D600131,D604827,D607628,D607631,D607681,D607682,D608105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01203,6,D110100,D157700,D161900,D190300,D190310,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01204,8,D109543,D126200,D147530,D176807,D236000,D247640,D267730,D601626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01210,5,D137750,D155100,D161900,D231200,D273800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01214,3,D137750,D137760,D601682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01216,5,D104130,D109200,D147530,D200170,D600082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01217,2,D114480,D174800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01219,14,D125310,D126200,D145600,D154275,D154276,D217150,D238800,D540000,D600467,D601042,D601367,D601887,D601888,D607225,,,,,,,,,,,,,,,,,,,,,,,,
DB01221,1,D147530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01222,6,D191390,D208550,D210050,D266600,D600807,D607154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01223,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01224,2,D164230,D181500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01225,4,D155100,D188050,D231200,D273800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01228,1,D115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01229,3,D114480,D148000,D194070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01231,2,D145590,D156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01232,1,D109100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01233,2,D109350,D157300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01234,20,D125600,D133600,D145590,D152700,D153880,D166760,D181000,D188030,D208550,D215140,D223350,D233810,D254400,D276300,D600351,D601608,D603165,D605804,D605805,D605844,,,,,,,,,,,,,,,,,,
DB01235,11,D102300,D168100,D168600,D168601,D260300,D556500,D600116,D602404,D606324,D607060,D607688,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01237,1,D607154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01238,2,D164230,D181500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01240,4,D161900,D178600,D188030,D265400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01241,3,D144010,D144650,D260480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01242,2,D164230,D167870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01244,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01246,4,D603165,D605804,D605805,D605844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01248,6,D114480,D137215,D155600,D155601,D176807,D276300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01250,1,D266600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01254,6,D223350,D247640,D276300,D601626,D602439,D608232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01255,2,D143465,D300494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01258,3,D145500,D161900,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01259,2,D114480,D276300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01260,1,D233810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01261,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01262,2,D247200,D601004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01267,1,D181500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01268,3,D144700,D605839,D606764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01275,3,D145500,D161900,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01283,3,D140600,D165720,D607850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01291,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01296,5,D140600,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01320,2,D217200,D239350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01327,1,D600803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01351,2,D217200,D239350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01356,1,D181500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01359,3,D161900,D234700,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01364,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01367,2,D168100,D168600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01390,1,D233100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01394,1,D249100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01395,2,D184700,D604416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01399,5,D140600,D145590,D147530,D165720,D607850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01400,2,D157950,D254200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01403,1,D147530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01406,5,D106100,D131200,D215140,D600351,D601608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01410,6,D208550,D603165,D605804,D605805,D605844,D607154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01427,1,D212110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01440,2,D161400,D605841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01551,1,D608088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01576,2,D136200,D143465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01577,4,D143465,D264120,D303110,D601665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01579,3,D264120,D303110,D601665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01590,2,D144700,D605839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01611,5,D152700,D601744,D605218,D605480,D608437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01620,5,D603165,D605804,D605805,D605844,D607154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01623,1,D181500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01628,3,D140600,D165720,D607850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB02546,2,D254400,D276300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB04571,1,D193200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB04844,1,D143100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB04861,4,D110100,D157700,D161900,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB04865,1,D608232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB04868,1,D608232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB05271,10,D102300,D168600,D168601,D260300,D556500,D600116,D602404,D606324,D607060,D607688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06196,1,D106100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06201,1,D606369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06268,2,D178600,D265400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06287,2,D144700,D605839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06718,1,D106100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06803,1,D181460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08799,4,D603165,D605804,D605805,D605844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08800,5,D603165,D605804,D605805,D605844,D607154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08801,5,D603165,D605804,D605805,D605844,D607154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08802,4,D603165,D605804,D605805,D605844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08803,4,D603165,D605804,D605805,D605844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08804,2,D106100,D202400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08820,1,D219700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08824,2,D190300,D602134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08835,4,D603165,D605804,D605805,D605844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08896,1,D606764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08901,3,D601626,D602439,D608232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08906,5,D603165,D605804,D605805,D605844,D607154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08907,10,D125852,D222100,D300136,D600319,D601208,D601318,D601666,D601941,D601942,D603266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
