DrugID,DiseaseCount,AssociatedDiseases1,AssociatedDiseases2,AssociatedDiseases3,AssociatedDiseases4,AssociatedDiseases5,AssociatedDiseases6,AssociatedDiseases7,AssociatedDiseases8,AssociatedDiseases9,AssociatedDiseases10,AssociatedDiseases11,AssociatedDiseases12,AssociatedDiseases13,AssociatedDiseases14,AssociatedDiseases15,AssociatedDiseases16,AssociatedDiseases17,AssociatedDiseases18,AssociatedDiseases19,AssociatedDiseases20,AssociatedDiseases21,AssociatedDiseases22
DB00695,11,D143880,D146255,D161900,D166300,D203700,D208300,D210050,D215140,D256370,D600351,D608622,,,,,,,,,,,
DB00696,2,D157300,D300125,,,,,,,,,,,,,,,,,,,,
DB00697,5,D157300,D160750,D190400,D200170,D601042,,,,,,,,,,,,,,,,,
DB00704,1,D103780,,,,,,,,,,,,,,,,,,,,,
DB00706,4,D147530,D200170,D310468,D600082,,,,,,,,,,,,,,,,,,
DB00707,1,D133239,,,,,,,,,,,,,,,,,,,,,
DB00710,2,D102500,D166710,,,,,,,,,,,,,,,,,,,,
DB00712,7,D103100,D140600,D153880,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,
DB00714,2,D168100,D168600,,,,,,,,,,,,,,,,,,,,
DB00715,4,D131300,D164230,D167870,D252320,,,,,,,,,,,,,,,,,,
DB00716,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,
DB00717,6,D102500,D131200,D184700,D192000,D215470,D604416,,,,,,,,,,,,,,,,
DB00721,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00722,5,D125310,D146255,D161900,D608320,D608622,,,,,,,,,,,,,,,,,
DB00724,1,D106400,,,,,,,,,,,,,,,,,,,,,
DB00727,2,D179600,D189800,,,,,,,,,,,,,,,,,,,,
DB00731,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB00733,1,D254200,,,,,,,,,,,,,,,,,,,,,
DB00734,8,D137580,D181500,D182830,D225740,D225755,D260970,D300494,D608033,,,,,,,,,,,,,,
DB00736,3,D109350,D190310,D600263,,,,,,,,,,,,,,,,,,,
DB00741,3,D125600,D166760,D233810,,,,,,,,,,,,,,,,,,,
DB00744,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,
DB00745,4,D107650,D126200,D136200,D143465,,,,,,,,,,,,,,,,,,
DB00747,7,D107550,D125320,D158280,D168100,D168600,D190310,D226150,,,,,,,,,,,,,,,
DB00749,6,D140600,D147530,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,
DB00750,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00754,2,D217200,D239350,,,,,,,,,,,,,,,,,,,,
DB00755,6,D145100,D145200,D151590,D182000,D276300,D604416,,,,,,,,,,,,,,,,
DB00757,1,D145590,,,,,,,,,,,,,,,,,,,,,
DB00758,3,D125310,D540000,D601367,,,,,,,,,,,,,,,,,,,
DB00759,3,D137400,D600263,D604416,,,,,,,,,,,,,,,,,,,
DB00762,4,D114500,D223350,D246470,D276300,,,,,,,,,,,,,,,,,,
DB00763,1,D275000,,,,,,,,,,,,,,,,,,,,,
DB00764,3,D208550,D233810,D600807,,,,,,,,,,,,,,,,,,,
DB00765,1,D171300,,,,,,,,,,,,,,,,,,,,,
DB00767,1,D145590,,,,,,,,,,,,,,,,,,,,,
DB00771,2,D191390,D226150,,,,,,,,,,,,,,,,,,,,
DB00773,4,D182280,D236000,D273300,D276300,,,,,,,,,,,,,,,,,,
DB00775,1,D608320,,,,,,,,,,,,,,,,,,,,,
DB00776,11,D208700,D217200,D267740,D300491,D600131,D604827,D607628,D607631,D607681,D607682,D608105,,,,,,,,,,,
DB00783,5,D102500,D114480,D176807,D215470,D311360,,,,,,,,,,,,,,,,,
DB00787,1,D268320,,,,,,,,,,,,,,,,,,,,,
DB00788,12,D133600,D133690,D140600,D145590,D147530,D150600,D157300,D165720,D208230,D252320,D607459,D607850,,,,,,,,,,
DB00790,3,D125310,D146255,D608320,,,,,,,,,,,,,,,,,,,
DB00794,17,D121201,D132090,D132100,D132300,D190300,D190310,D208700,D217200,D267740,D300491,D600131,D604827,D607628,D607631,D607681,D607682,D608105,,,,,
DB00795,2,D104130,D266600,,,,,,,,,,,,,,,,,,,,
DB00796,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00800,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00804,2,D304790,D600351,,,,,,,,,,,,,,,,,,,,
DB00806,4,D125310,D188050,D540000,D601367,,,,,,,,,,,,,,,,,,
DB00808,5,D161900,D215140,D256370,D600351,D608622,,,,,,,,,,,,,,,,,
DB00810,2,D125320,D168100,,,,,,,,,,,,,,,,,,,,
DB00813,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00814,6,D133690,D140600,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,
DB00816,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,
DB00819,6,D147480,D215140,D217200,D239350,D243200,D600351,,,,,,,,,,,,,,,,
DB00820,2,D161900,D178600,,,,,,,,,,,,,,,,,,,,
DB00822,1,D103780,,,,,,,,,,,,,,,,,,,,,
DB00829,3,D156000,D217200,D601042,,,,,,,,,,,,,,,,,,,
DB00831,1,D181500,,,,,,,,,,,,,,,,,,,,,
DB00839,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB00843,3,D104300,D125320,D605055,,,,,,,,,,,,,,,,,,,
DB00844,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00846,1,D233810,,,,,,,,,,,,,,,,,,,,,
DB00848,1,D276300,,,,,,,,,,,,,,,,,,,,,
DB00851,6,D155600,D155601,D236000,D256700,D268220,D276300,,,,,,,,,,,,,,,,
DB00852,4,D145590,D208550,D600807,D608088,,,,,,,,,,,,,,,,,,
DB00853,3,D155600,D155601,D276300,,,,,,,,,,,,,,,,,,,
DB00860,7,D126200,D146850,D147540,D215140,D276300,D304790,D600351,,,,,,,,,,,,,,,
DB00861,6,D140600,D147530,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,
DB00863,3,D109350,D190310,D304790,,,,,,,,,,,,,,,,,,,
DB00864,1,D603165,,,,,,,,,,,,,,,,,,,,,
DB00865,3,D264120,D303110,D601665,,,,,,,,,,,,,,,,,,,
DB00868,1,D608088,,,,,,,,,,,,,,,,,,,,,
DB00869,4,D137750,D137760,D161900,D601682,,,,,,,,,,,,,,,,,,
DB00871,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,
DB00876,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00880,7,D161900,D203700,D210050,D215140,D256370,D600351,D608622,,,,,,,,,,,,,,,
DB00881,3,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,,
DB00882,1,D270960,,,,,,,,,,,,,,,,,,,,,
DB00883,4,D109350,D161900,D178600,D608320,,,,,,,,,,,,,,,,,,
DB00884,4,D102500,D166710,D167320,D602080,,,,,,,,,,,,,,,,,,
DB00887,10,D146255,D161900,D166300,D203700,D208300,D210050,D215140,D256370,D600351,D608622,,,,,,,,,,,,
DB00889,1,D145590,,,,,,,,,,,,,,,,,,,,,
DB00898,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00899,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00901,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,
DB00903,8,D161900,D203700,D208300,D210050,D215140,D256370,D600351,D608622,,,,,,,,,,,,,,
DB00904,3,D103780,D145590,D164230,,,,,,,,,,,,,,,,,,,
DB00905,4,D137750,D137760,D161900,D601682,,,,,,,,,,,,,,,,,,
DB00906,1,D217200,,,,,,,,,,,,,,,,,,,,,
DB00907,2,D147530,D608088,,,,,,,,,,,,,,,,,,,,
DB00908,3,D115000,D607554,D608583,,,,,,,,,,,,,,,,,,,
DB00909,13,D190300,D208700,D217200,D239350,D267740,D300491,D600131,D604827,D607628,D607631,D607681,D607682,D608105,,,,,,,,,
DB00912,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB00915,3,D119500,D126200,D168100,,,,,,,,,,,,,,,,,,,
DB00917,1,D231090,,,,,,,,,,,,,,,,,,,,,
DB00918,1,D157300,,,,,,,,,,,,,,,,,,,,,
DB00921,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00924,5,D147530,D157300,D160750,D200170,D601042,,,,,,,,,,,,,,,,,
DB00925,1,D171300,,,,,,,,,,,,,,,,,,,,,
DB00927,4,D109350,D190310,D304790,D600263,,,,,,,,,,,,,,,,,,
DB00928,3,D247200,D258360,D601004,,,,,,,,,,,,,,,,,,,
DB00929,2,D140600,D190310,,,,,,,,,,,,,,,,,,,,
DB00933,1,D181500,,,,,,,,,,,,,,,,,,,,,
DB00936,4,D106400,D125600,D147530,D604416,,,,,,,,,,,,,,,,,,
DB00937,2,D264120,D601665,,,,,,,,,,,,,,,,,,,,
DB00938,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,
DB00939,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00945,13,D107320,D125310,D140600,D145590,D147530,D150600,D152700,D157300,D165720,D208230,D601367,D607459,D607850,,,,,,,,,
DB00947,1,D114480,,,,,,,,,,,,,,,,,,,,,
DB00949,1,D102100,,,,,,,,,,,,,,,,,,,,,
DB00952,1,D157300,,,,,,,,,,,,,,,,,,,,,
DB00953,1,D157300,,,,,,,,,,,,,,,,,,,,,
DB00956,2,D147530,D608088,,,,,,,,,,,,,,,,,,,,
DB00957,3,D131200,D192000,D604416,,,,,,,,,,,,,,,,,,,
DB00958,4,D109800,D133239,D259500,D276300,,,,,,,,,,,,,,,,,,
DB00959,6,D109100,D140600,D146850,D147540,D208550,D276300,,,,,,,,,,,,,,,,
DB00960,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00963,2,D115645,D212350,,,,,,,,,,,,,,,,,,,,
DB00966,3,D145500,D161900,D608622,,,,,,,,,,,,,,,,,,,
DB00968,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00969,1,D260570,,,,,,,,,,,,,,,,,,,,,
DB00975,1,D601367,,,,,,,,,,,,,,,,,,,,,
DB00977,7,D102500,D131200,D184700,D192000,D215470,D311360,D604416,,,,,,,,,,,,,,,
DB00982,2,D601626,D604416,,,,,,,,,,,,,,,,,,,,
DB00983,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,
DB00987,8,D109543,D223350,D236000,D246470,D247640,D267730,D276300,D601626,,,,,,,,,,,,,,
DB00988,4,D146255,D161900,D166300,D310468,,,,,,,,,,,,,,,,,,
DB00989,4,D104300,D125320,D168100,D605055,,,,,,,,,,,,,,,,,,
DB00990,1,D114480,,,,,,,,,,,,,,,,,,,,,
DB00991,5,D140600,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,
DB00992,1,D106400,,,,,,,,,,,,,,,,,,,,,
DB00993,9,D126200,D152700,D160300,D181000,D188030,D208920,D233810,D254200,D266600,,,,,,,,,,,,,
DB00995,1,D134750,,,,,,,,,,,,,,,,,,,,,
DB00996,16,D102300,D144110,D147530,D157300,D165199,D190300,D208700,D267740,D300491,D600131,D604827,D607628,D607631,D607681,D607682,D608105,,,,,,
DB00997,14,D109800,D114480,D137215,D188470,D194070,D211980,D236000,D247640,D254500,D256700,D259500,D268220,D276300,D601626,,,,,,,,
DB00998,1,D157300,,,,,,,,,,,,,,,,,,,,,
DB00999,7,D102500,D125700,D161900,D208300,D215140,D600351,D608622,,,,,,,,,,,,,,,
DB01001,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,
DB01002,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB01003,3,D191390,D208550,D600807,,,,,,,,,,,,,,,,,,,
DB01005,7,D144700,D155600,D155601,D187950,D263300,D276300,D605839,,,,,,,,,,,,,,,
DB01006,1,D114480,,,,,,,,,,,,,,,,,,,,,
DB01008,5,D223350,D246470,D254450,D263300,D276300,,,,,,,,,,,,,,,,,
DB01009,6,D140600,D145590,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,
DB01013,2,D125600,D151590,,,,,,,,,,,,,,,,,,,,
DB01014,1,D266600,,,,,,,,,,,,,,,,,,,,,
DB01016,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB01017,1,D604416,,,,,,,,,,,,,,,,,,,,,
DB01018,3,D143465,D161900,D608622,,,,,,,,,,,,,,,,,,,
DB01019,3,D109350,D157950,D191800,,,,,,,,,,,,,,,,,,,
DB01020,2,D109350,D608320,,,,,,,,,,,,,,,,,,,,
DB01023,3,D161900,D179600,D608622,,,,,,,,,,,,,,,,,,,
DB01029,7,D125850,D125851,D125853,D146255,D161900,D600496,D608622,,,,,,,,,,,,,,,
DB01030,2,D182280,D276300,,,,,,,,,,,,,,,,,,,,
DB01033,5,D109543,D151400,D191390,D247640,D266600,,,,,,,,,,,,,,,,,
DB01035,3,D115000,D607554,D608583,,,,,,,,,,,,,,,,,,,
DB01039,2,D144010,D144650,,,,,,,,,,,,,,,,,,,,
DB01041,2,D246300,D254500,,,,,,,,,,,,,,,,,,,,
DB01042,3,D254500,D256700,D268220,,,,,,,,,,,,,,,,,,,
DB01043,3,D104300,D125320,D605055,,,,,,,,,,,,,,,,,,,
DB01045,1,D246300,,,,,,,,,,,,,,,,,,,,,
DB01050,9,D140600,D145590,D147530,D150600,D165720,D208230,D252320,D607459,D607850,,,,,,,,,,,,,
DB01058,1,D181460,,,,,,,,,,,,,,,,,,,,,
DB01062,1,D144110,,,,,,,,,,,,,,,,,,,,,
DB01063,1,D181500,,,,,,,,,,,,,,,,,,,,,
DB01064,3,D115000,D208550,D600807,,,,,,,,,,,,,,,,,,,
DB01067,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB01068,11,D102100,D102300,D140600,D165720,D167870,D181500,D208230,D254770,D254800,D607459,D607850,,,,,,,,,,,
DB01069,3,D147540,D158280,D608088,,,,,,,,,,,,,,,,,,,
DB01070,2,D146255,D241519,,,,,,,,,,,,,,,,,,,,
DB01072,1,D109100,,,,,,,,,,,,,,,,,,,,,
DB01073,7,D109543,D151400,D223350,D236000,D247640,D267730,D276300,,,,,,,,,,,,,,,
DB01075,4,D145590,D147540,D158280,D608088,,,,,,,,,,,,,,,,,,
DB01076,1,D144010,,,,,,,,,,,,,,,,,,,,,
DB01080,3,D217200,D308350,D605021,,,,,,,,,,,,,,,,,,,
DB01083,3,D264120,D303110,D601665,,,,,,,,,,,,,,,,,,,
DB01085,1,D161900,,,,,,,,,,,,,,,,,,,,,
DB01086,2,D147530,D166760,,,,,,,,,,,,,,,,,,,,
DB01088,4,D145500,D161900,D178600,D608622,,,,,,,,,,,,,,,,,,
DB01095,1,D144010,,,,,,,,,,,,,,,,,,,,,
DB01098,1,D144010,,,,,,,,,,,,,,,,,,,,,
DB01099,2,D114580,D212050,,,,,,,,,,,,,,,,,,,,
DB01101,6,D114480,D114500,D137215,D144700,D176807,D276300,,,,,,,,,,,,,,,,
DB01104,4,D131300,D164230,D167870,D252320,,,,,,,,,,,,,,,,,,
DB01105,3,D264120,D303110,D601665,,,,,,,,,,,,,,,,,,,
DB01109,3,D125310,D540000,D601367,,,,,,,,,,,,,,,,,,,
DB01110,2,D114580,D212050,,,,,,,,,,,,,,,,,,,,
DB01113,3,D115000,D179600,D260570,,,,,,,,,,,,,,,,,,,
DB01115,3,D161900,D179600,D608622,,,,,,,,,,,,,,,,,,,
DB01118,1,D115000,,,,,,,,,,,,,,,,,,,,,
DB01120,1,D125853,,,,,,,,,,,,,,,,,,,,,
DB01122,1,D254200,,,,,,,,,,,,,,,,,,,,,
DB01124,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB01125,1,D607554,,,,,,,,,,,,,,,,,,,,,
DB01128,1,D176807,,,,,,,,,,,,,,,,,,,,,
DB01129,3,D109350,D190310,D600263,,,,,,,,,,,,,,,,,,,
DB01132,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB01133,2,D167320,D602080,,,,,,,,,,,,,,,,,,,,
DB01136,3,D161900,D607554,D608622,,,,,,,,,,,,,,,,,,,
DB01137,2,D166760,D208550,,,,,,,,,,,,,,,,,,,,
DB01142,2,D147530,D603165,,,,,,,,,,,,,,,,,,,,
DB01143,1,D276300,,,,,,,,,,,,,,,,,,,,,
DB01148,3,D155100,D231200,D273800,,,,,,,,,,,,,,,,,,,
DB01151,2,D143465,D147530,,,,,,,,,,,,,,,,,,,,
DB01156,3,D143465,D167870,D264120,,,,,,,,,,,,,,,,,,,
DB01157,1,D109100,,,,,,,,,,,,,,,,,,,,,
DB01161,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB01162,7,D144110,D147530,D157950,D161900,D200170,D600082,D608622,,,,,,,,,,,,,,,
DB01165,2,D166760,D600263,,,,,,,,,,,,,,,,,,,,
DB01167,4,D114580,D212050,D258360,D602068,,,,,,,,,,,,,,,,,,
DB01169,1,D276300,,,,,,,,,,,,,,,,,,,,,
DB01170,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB01173,4,D147530,D157300,D160750,D200170,,,,,,,,,,,,,,,,,,
DB01174,12,D121200,D121201,D143500,D190310,D208085,D217200,D218800,D226150,D237450,D237500,D308600,D608217,,,,,,,,,,
DB01175,1,D164230,,,,,,,,,,,,,,,,,,,,,
DB01176,1,D145590,,,,,,,,,,,,,,,,,,,,,
DB01177,3,D223350,D247640,D601626,,,,,,,,,,,,,,,,,,,
DB01181,6,D109543,D151400,D236000,D247640,D273300,D276300,,,,,,,,,,,,,,,,
DB01182,1,D607554,,,,,,,,,,,,,,,,,,,,,
DB01185,3,D114480,D215470,D241100,,,,,,,,,,,,,,,,,,,
DB01186,2,D168100,D168600,,,,,,,,,,,,,,,,,,,,
DB01188,2,D114580,D125600,,,,,,,,,,,,,,,,,,,,
DB01189,3,D147530,D161900,D608622,,,,,,,,,,,,,,,,,,,
DB01192,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB01193,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB01194,4,D137750,D137760,D161900,D601682,,,,,,,,,,,,,,,,,,
DB01195,1,D607554,,,,,,,,,,,,,,,,,,,,,
DB01196,2,D176807,D601518,,,,,,,,,,,,,,,,,,,,
DB01197,7,D146255,D161900,D179600,D215140,D600351,D602522,D608622,,,,,,,,,,,,,,,
DB01200,1,D168100,,,,,,,,,,,,,,,,,,,,,
DB01202,10,D217200,D239350,D300491,D600131,D604827,D607628,D607631,D607681,D607682,D608105,,,,,,,,,,,,
DB01203,6,D110100,D157700,D161900,D190300,D190310,D608622,,,,,,,,,,,,,,,,
DB01204,8,D109543,D126200,D147530,D176807,D236000,D247640,D267730,D601626,,,,,,,,,,,,,,
DB01210,5,D137750,D155100,D161900,D231200,D273800,,,,,,,,,,,,,,,,,
DB01214,3,D137750,D137760,D601682,,,,,,,,,,,,,,,,,,,
DB01216,5,D104130,D109200,D147530,D200170,D600082,,,,,,,,,,,,,,,,,
DB01217,2,D114480,D174800,,,,,,,,,,,,,,,,,,,,
DB01219,10,D125310,D126200,D145600,D154276,D217150,D238800,D540000,D601042,D601367,D607225,,,,,,,,,,,,
DB01221,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB01222,5,D191390,D208550,D210050,D266600,D600807,,,,,,,,,,,,,,,,,
DB01223,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,
DB01224,2,D164230,D181500,,,,,,,,,,,,,,,,,,,,
DB01225,4,D155100,D188050,D231200,D273800,,,,,,,,,,,,,,,,,,
DB01228,1,D115000,,,,,,,,,,,,,,,,,,,,,
DB01229,3,D114480,D148000,D194070,,,,,,,,,,,,,,,,,,,
DB01231,2,D145590,D156000,,,,,,,,,,,,,,,,,,,,
DB01232,1,D109100,,,,,,,,,,,,,,,,,,,,,
DB01233,2,D109350,D157300,,,,,,,,,,,,,,,,,,,,
DB01234,16,D125600,D133600,D145590,D152700,D153880,D166760,D181000,D188030,D208550,D215140,D223350,D233810,D254400,D276300,D600351,D601608,,,,,,
DB01235,2,D102300,D168100,,,,,,,,,,,,,,,,,,,,
DB01238,2,D164230,D181500,,,,,,,,,,,,,,,,,,,,
DB01240,3,D161900,D178600,D188030,,,,,,,,,,,,,,,,,,,
DB01241,3,D144010,D144650,D260480,,,,,,,,,,,,,,,,,,,
DB01242,2,D164230,D167870,,,,,,,,,,,,,,,,,,,,
DB01244,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB01248,6,D114480,D137215,D155600,D155601,D176807,D276300,,,,,,,,,,,,,,,,
DB01254,3,D223350,D247640,D276300,,,,,,,,,,,,,,,,,,,
DB01255,2,D143465,D300494,,,,,,,,,,,,,,,,,,,,
DB01258,3,D145500,D161900,D608622,,,,,,,,,,,,,,,,,,,
DB01259,2,D114480,D276300,,,,,,,,,,,,,,,,,,,,
DB01260,1,D233810,,,,,,,,,,,,,,,,,,,,,
DB01261,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB01262,2,D247200,D601004,,,,,,,,,,,,,,,,,,,,
DB01267,1,D181500,,,,,,,,,,,,,,,,,,,,,
DB01268,2,D144700,D605839,,,,,,,,,,,,,,,,,,,,
DB01275,3,D145500,D161900,D608622,,,,,,,,,,,,,,,,,,,
DB01291,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,
DB01296,5,D140600,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,
DB01320,2,D217200,D239350,,,,,,,,,,,,,,,,,,,,
DB01327,1,D600803,,,,,,,,,,,,,,,,,,,,,
DB01351,2,D217200,D239350,,,,,,,,,,,,,,,,,,,,
DB01356,1,D181500,,,,,,,,,,,,,,,,,,,,,
DB01359,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB01364,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,
DB01367,2,D168100,D168600,,,,,,,,,,,,,,,,,,,,
DB01378,2,D109350,D190310,,,,,,,,,,,,,,,,,,,,
DB01394,1,D249100,,,,,,,,,,,,,,,,,,,,,
DB01395,2,D184700,D604416,,,,,,,,,,,,,,,,,,,,
DB01399,2,D145590,D147530,,,,,,,,,,,,,,,,,,,,
DB01400,2,D157950,D254200,,,,,,,,,,,,,,,,,,,,
DB01402,1,D600263,,,,,,,,,,,,,,,,,,,,,
DB01403,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB01406,4,D131200,D215140,D600351,D601608,,,,,,,,,,,,,,,,,,
DB01410,1,D208550,,,,,,,,,,,,,,,,,,,,,
DB01427,1,D212110,,,,,,,,,,,,,,,,,,,,,
DB01551,1,D608088,,,,,,,,,,,,,,,,,,,,,
DB01576,2,D136200,D143465,,,,,,,,,,,,,,,,,,,,
DB01577,4,D143465,D264120,D303110,D601665,,,,,,,,,,,,,,,,,,
DB01579,3,D264120,D303110,D601665,,,,,,,,,,,,,,,,,,,
DB01590,2,D144700,D605839,,,,,,,,,,,,,,,,,,,,
DB01623,1,D181500,,,,,,,,,,,,,,,,,,,,,
DB01677,1,D206200,,,,,,,,,,,,,,,,,,,,,
DB02546,2,D254400,D276300,,,,,,,,,,,,,,,,,,,,
DB03796,2,D115300,D277350,,,,,,,,,,,,,,,,,,,,
DB03904,1,D173200,,,,,,,,,,,,,,,,,,,,,
DB04272,4,D179800,D179830,D310468,D604278,,,,,,,,,,,,,,,,,,
DB04844,1,D143100,,,,,,,,,,,,,,,,,,,,,
DB04861,4,D110100,D157700,D161900,D608622,,,,,,,,,,,,,,,,,,
DB05259,1,D126200,,,,,,,,,,,,,,,,,,,,,
DB06285,3,D102500,D166710,D606842,,,,,,,,,,,,,,,,,,,
DB06287,2,D144700,D605839,,,,,,,,,,,,,,,,,,,,
